comment_phase,turn_id,speaker,role,timestamp,start_time,end_time,text,n_segments,name,stakeholder
Comment 1,144,SPEAKER_04,NA,02:43:50,9830,9961,"Good evening. My name is Beth Robinson, and I'm here to speak against this ordinance. I have lived on these streets not once, but multiple times. I know what it's like to face long, cold, dark nights with nowhere safe to go. Those nights were terrifying. And I can tell you I would have never been able to rebuild my life back had I been cited, fined, or jailed simply for trying to survive. So I ask you directly, will this city also cite and fine the yuppies, the wealthy, for spreading out a blanket at a park, for laying down at a festival, for resting their head in public within city limits, or does this only apply to our unhoused neighbors? Even Charlottesville's staff have admitted there are not enough beds or shelter for everyone, yet this ordinance would punish people outside living outside while offering minimal safe, dignified alternatives without even designated camping areas, just punishment. Back in August of 2024, residents and advocates made it clear. We denounced the lock-em-up rhetoric. We asked for solutions rooted in dignity, not criminalization. Yet here we are debating whether survival should be treated as a crime. And make no mistake, even if the base violation is low level, it can quickly escalate. Citations turn into unpaid fines, fines into warrants, and warrants into arrest and criminal records. And once someone has that record, it causes it to nearly be impossible to get housing or a job. It traps people in the very cycle you claim you want to end. The unhoused are not strangers. They are our neighbors, and most don't even have access to basic sanitation, let alone a bed. Criminalization will not fix that. All it does is deepen suffering and punish people further from stability. You simply cannot punish people out of poverty and you cannot legislate away human need. I implore you to choose empathy. Thank you.",25,Beth Robinson,public
Comment 1,146,Juandiego Wade,"Mayor, City Council",02:49:19,10159,10159,Thank you.,1,Juandiego Wade,council
Comment 1,147,Jeff Fogel,NA,02:49:30,10170,10292,"I guess I can move this, right? Instead of sitting on her lap. Yeah, you can move it out, sir. Good idea. Thank you, and good evening. When I first heard about the ordinance to criminalize the homeless, I was shocked, followed by absolute fury that continues to this day that you would even discuss, even discuss an issue of making people who were suffering from a lack of shelter into criminals. It's disgusting. The city attorney has relied on a decision by the Supreme Court of the right wing of the Supreme Court. Is that where we stand? Donald Trump has asked all the cities to prohibit sleeping and camping. Are we with Donald Trump? We don't even know who this came from. It was just dropped on the agenda. There was no community engagement, as has usually been required, because there was absolutely none. Nobody was talked to, not the service providers, not the people who have cared about this issue. It is absolutely and completely infuriating, outrageous, unconscionable, and inhuman for you to even consider an ordinance like this as any kind of solution to the problem we face here in Charlottesville. You have gotten the solutions. You know the solutions. They range from what the service providers are urging you to do, set aside an area of the city where people can camp out. And they range to what we should be doing, which is building housing. Building housing because the solution to homelessness is housing, not the criminal law. And to characterize everybody in this community who's unsheltered as a criminal is disgusting. And I'm hoping that any one of you who has, we don't know who proposed this. Is any one of you willing, have the courage to stand up and say, I propose this. Let's see if you have that courage. Because if you do vote for this, we're going to be laser focused on your inhumanity. Thank you.",28,Jeff Fogel,public
Comment 1,148,Don Gathers,NA,02:51:45,10305,10515,"Good evening. I always love following Mr. Foale because it's my intent to speak on the same thing. Well, Councillor, City Manager Saunders, Chief, I urge each of you to please reconsider this coming proposal to attack the homeless here in town. No one, and I repeat no one, that is living on the streets aligned at night and doorways is there because they want to be. Their life circumstances have driven them to this point. This proposed ordinance only deepens their plight. Though on the books or in accordance with statute, it is a low-level offense. Can we honestly say how long or how many offenses will occur before a capias is issued for their arrest? An ultimate incarceration stuffed into a jail and a system that is already designed not for rehabilitation but for punitive measures. a system in a locality more concerned about expanding the numbers of prison cells than we are with keeping people out of jail. This appears to in some ways rival the actions taken by the dictating furor in DC. The homeless population here and elsewhere don't need a boot to the face or a knee on the neck. They need a hand up from a city rich in resources. The homeless population deserves more from its leaders than simply spending a night out on a grassy lawn claiming to try to grasp what it is like to be homeless, knowing full well that they would be going home to their safe homes the next day. That was a slap in the face. It truly was. It was gaslighting at its best. We have a solution sitting right here on the mall. that hideous condemned building, the Dewberry Hotel. If we're really sincere about trying to solve this problem, do what this city has done in the past, claiming under eminent domain, which we've done right here in this area anyway. No, but we want to solve the homeless problem and stop throwing useless words at it. So I leave you with this. The righteous will answer him, Lord, when did we see you hungry and feed you or thirsty and give you something to drink? When did we see you a stranger and invite you in or needing clothes and clothes you? When did we see you sick or in prison and go to visit you? The king will reply, truly, I tell you, whatever you did for one of the least of these brothers and sisters of mine, You did for me. Then he will say to those on his left, apart from me, you who are cursed into the eternal fire, prepare for the devil and his angels. For I was hungry and you gave me nothing to eat. I was thirsty and you gave me nothing to drink. I was a stranger and you did not invite me in. I needed clothes and you did not clothe me. I was sick and in prison and you did not look after me. They will also answer, Lord, when did we see you hungry or thirsty for a stranger or needing clothes or sick or in prison and did not help you? He will reply, truly, I tell you, whatever you did not do for one of the least of these, you did not do for me. Do the right thing, please.",36,Don Gathers,public
Comment 1,149,Juandiego Wade,"Mayor, City Council",02:55:16,10516,10516,Thank you.,1,Juandiego Wade,council
Comment 1,150,SPEAKER_32,NA,02:55:18,10518,10523,The next speaker is Anna Marlowe. Anna Naylor.,2,unidentified staff/clerk,police_staff
Comment 1,151,SPEAKER_08,NA,02:55:32,10532,10700,"Hi. I'm tired. I'm really, really tired. I have spent almost every waking moment fighting fascism since this administration started. There are fascists in every branch of the federal government. There are fascists trying to control our universities. When I read that an ordinance would be brought up to council today, I thought to myself, oh great, fascist in Charlottesville. Haven't we done this before? Usually, I would give you a set of statistics or figures or data that would prove why this ordinance would do literally nothing to improve the problem of homelessness in our city. But I simply don't want to, because I'm tired of being a human computer to prove that marginalized people deserve respect. So let me speak freely. You will inevitably hear from a bunch of white people who work at six-figure desk jobs or people who own houses on Rugby Road, who say they volunteer at the Haven when they probably just donated clothes there once, who may have former addicts in their family, who will weaponize every story in the book to justify their hatred and vitriol of people they deem undesirables. But I say to those people, there is no justification. You will not cleanse your soul with the anecdotes of how one time, A person in psychosis who was slowly dying of malnutrition didn't want your leftover sandwich. Because if you've never had to know the inhumanity of begging for water in a world where it flows freely, you've never been woken out of a two hour sleep at two in the morning by a police officer clicking a flashlight in front of your face and yelling at you to move from a public park that you're staying in. If you've never had to put precious family belongings in a black garbage bag or fake being a Christian to gain access to a 90 day 100 square foot room with a lock, you'll never know what it's like. You'll hear from a person who bought this ordinance who I'm not allowed to say what I want to say about him because of city council laws. That person will claim that he just wants what's best for the community. He will use the correct terms like houselessness and will probably name drop a bunch of people and organizations to justify his ordinance. He will say it's not criminalizing because it's only a class 4 misdemeanor. But a misdemeanor is a misdemeanor. He will talk about open drug use even though there's no safe injection site or a 60 mile radius. There's not even a public sharps disposal on the entire downtown mall. Why? But if you want to bring an ordinance to displace members of this community who have no less right to live on this land than any of us, you to me are no different than the fascists in the White House. Because Grant's past is a fascist playbook. It's the legal justification to discard the people who do nothing for white supremacistism who will discard them. So I won't be a human computer. All I can do is appeal to the council's sense of morality. When you lay your head down on the pillow at night and you close your eyes, will you sleep peacefully, knowing you didn't vote for this, or will the spirits of all that you have deemed unworthy pull at the fabric of your soul?",31,NA,public
Comment 1,152,SPEAKER_32,NA,02:58:38,10718,10726,"Thank you. Iris Newman. No, I'm sorry. Isis. Isis Newman. Isis Newman.",6,unidentified staff/clerk,police_staff
Comment 1,153,SPEAKER_07,NA,02:58:56,10736,10922,"Hi, my name is Joshua Ballew. I moved to Charlottesville in 2017. I've been homeless ever since. I couch surfed for a while, worked the whole time I was living under a UVA bridge for a year. I worked six days a week. Poverty doesn't always mean homeless, you know. Some people are homeless by choice. Some people are homeless because of circumstance. Some get that way just because they didn't feel like taking the next step to actually get themselves out of it. And in none of those ways is it ever okay. I started out when I came here being one of the most caring, helpful people that even I knew. and it has taken its toll on me after seven years of being out on the street. But I've met some of the best people that I've ever met out there, the people with hearts. I've watched the community grow and take care of themselves. Some of them are drug users, some of them are mental, some are just like the people in this room. Some of them have day jobs. You never know if they were sleeping on a sidewalk at night. Not once when I was living under that bridge did anyone know that didn't know me know that I was living under a bridge, including the pastor of my church and my boss who actually dropped me off there twice. He didn't know I was living under the bridge because it was right next to Hampton Inn. As far as this goes, I was under this particular bridge that they kick people out from under on pantiles. When that happened, because I went there looking for my brother. He's a little brother, not blood, but he's been that way since I moved to Charlottesville. I ended up staying because I liked the people there and I wanted to do something to help. And so we became a community. When they first flooded the bridge under there for no apparent reason because it didn't rain enough to show cause for it, everybody lost a lot of stuff and they ended up having to move all their clutter really quick up to the front of the bridge. It never did get put back in order because we never got a complaint. When they were on the back side of the bridge and I was sleeping up on the sidewalk, they sat there and tried their best. and we were told that when we moved out from under the bridge that it would be okay to be along the trail as long as everybody kept things nice. So far every other camp but mine, and I did it on purpose, every other camp but mine looks nice, it's clean, organized. They've been keeping up with it.",30,Joshua Ballew,public
Comment 1,154,Juandiego Wade,"Mayor, City Council",03:02:04,10924,10924,Thank you.,1,Juandiego Wade,council
Comment 1,155,SPEAKER_07,NA,03:02:06,10926,10938,"And I'd just like to say that For this to move forwards, I'm going to be there every step of the way fighting against it. Thank you, sir. And my friends will be too. Thank you.",5,Joshua Ballew,public
Comment 1,156,SPEAKER_32,NA,03:02:19,10939,10939,The next speaker is Jennifer Kelly.,1,unidentified staff/clerk,police_staff
Comment 1,158,SPEAKER_32,NA,03:05:38,11138,11138,The next speaker is Wendy Gio.,1,unidentified staff/clerk,police_staff
Comment 1,159,Juandiego Wade,"Mayor, City Council",03:05:45,11145,11156,The next speaker is Wendy Gail. Wendy Gail. I'm that lady.,3,Juandiego Wade,council
Comment 1,160,SPEAKER_05,NA,03:06:00,11160,11160,I'll be sharing my time tonight.,1,Wendy (surname not given),public
Comment 1,161,Juandiego Wade,"Mayor, City Council",03:06:01,11161,11161,Thank you.,1,Juandiego Wade,council
Comment 1,162,Joy Johnson,NA,03:06:08,11168,11334,"Good evening. My name is Joy Johnson. I am an advocate for public housing. I am wearing three hats tonight, public housing resident, Legal Aid Justice Center, and for Public Housing Association of Residents. I am here tonight to ask you or to inform you that we are against West Haven residents and the 10th and Page neighborhood. We're against that monstrous building that is being proposed, a 12-story building that's being proposed to be built on West Main Street. And the developer or the engineer, whoever they are, basically said to the DAR that they had engagement with the residents. Well, this started in April. We didn't see them until June. when they came to West Haven to tell us what they were going to do. Well, most of you know that you don't tell public housing residents what you're going to do. You work with them to say, here is what we would like to do. And basically what he did, what they did, was just basically saying, OK, here's what it is. This is what we do in all these monstrous cities. We decided that, OK. We don't like it and you should not have met with West Haven separated from 10th and Page because West Haven is part of 10th and Page. Let me move on. I am so upset this evening because here it is, you have a developer wanting to build a 12-story building with student housing where you have homeless people who doesn't have anywhere to go and we're not thinking about building affordable housing or even SROs that can help folks. I don't have time to read everything that I'm saying right here, but I remember this came up when Mayor Walker was on council. and she basically told, y'all basically said council at that time, no. And most of this is being driven by the Downtown Business Association, tourism, and privileged white people who does not want to see people with less privilege amongst them. You said, council said no then. I'm asking council tonight to all say no now. Thank you.",25,Joy Johnson,public
